,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
277,Mollendo,8,PE,1554066056,51,-17.03,-72.02,74.09,3.69
278,Alta Floresta,40,BR,1554062400,52,-9.87,-56.08,93.2,2.24
279,Bagdarin,0,RU,1554066218,54,54.44,113.59,0.47,2.46
280,Chunoyar,32,RU,1554066219,94,57.45,97.32,32.69,5.14
281,Kysyl-Syr,20,RU,1554066221,67,63.9,122.77,7.76,2.57
282,Inuvik,90,CA,1554065280,80,68.36,-133.71,35.6,17.22
283,Boissevain,90,CA,1554064500,69,49.23,-100.06,35.6,16.11
284,Banikoara,20,BJ,1554066225,62,11.3,2.44,86.15,3.24
285,Kaitangata,0,NZ,1554066133,47,-46.28,169.85,64.0,18.99
286,Sal Rei,40,CV,1554062400,64,16.18,-22.92,69.8,12.75
287,Son La,20,VN,1554066229,95,21.32,103.9,63.56,1.9
288,Beisfjord,20,NO,1554066132,79,68.38,17.6,28.0,19.46
289,Mahebourg,40,MU,1554065942,83,-20.41,57.7,77.0,3.36
290,Havre-Saint-Pierre,90,CA,1554064440,86,50.23,-63.6,41.0,19.46
291,Yanam,32,IN,1554066234,87,16.73,82.22,77.78,3.47
292,Dhidhdhoo,0,MV,1554066235,100,6.88,73.1,84.44,0.78
293,Umm Lajj,64,SA,1554066108,95,25.02,37.27,64.46,11.97
294,San Policarpo,0,PH,1554066238,100,12.18,125.51,71.66,8.39
295,Tam Ky,75,VN,1554064200,94,15.57,108.48,73.4,1.12
296,Sitka,8,US,1554066082,29,37.17,-99.65,50.0,1.99
297,Komsomolskiy,64,RU,1554066241,90,67.55,63.78,26.93,16.67
298,Eydhafushi,0,MV,1554066243,100,5.1,73.07,84.26,1.12
299,Kokoda,48,PG,1554066244,95,-8.88,147.74,63.92,0.45
300,Sherbakul,40,RU,1554064200,92,54.63,72.39,28.4,8.95
301,Hervey Bay,0,AU,1554066035,82,-25.3,152.85,69.01,5.82
302,Lasa,20,CY,1554066039,87,34.92,32.53,51.8,4.7
303,Sawakin,0,SD,1554062400,69,19.1,37.33,75.2,6.93
304,Bartica,40,GY,1554062400,58,6.41,-58.62,87.8,13.87
305,Karasburg,0,NA,1554066252,33,-28.01,18.75,67.25,7.94
306,Ekhabi,68,RU,1554066254,86,53.51,142.97,13.61,11.86
307,Grimstad,40,NO,1554066102,59,66.94,13.72,33.8,17.22
308,Anadyr,90,RU,1554066147,95,64.73,177.51,33.8,20.13
309,Aluksne,0,LV,1554066258,68,57.42,27.05,31.97,17.22
310,Whittlesea,75,AU,1554066244,76,-37.51,145.12,57.0,2.24
311,San Patricio,88,PY,1554066261,67,-26.98,-56.83,85.97,3.47
312,Fairbanks,1,US,1554066132,64,64.84,-147.72,48.99,4.81
313,Hwange,0,ZW,1554066263,41,-18.35,26.5,68.33,4.25
314,Burgeo,88,CA,1554066264,94,47.61,-57.61,33.23,15.43
315,Bukachacha,0,RU,1554066266,64,52.99,116.91,6.86,2.57
316,Ovalle,20,CL,1554066037,84,-30.6,-71.2,65.63,3.91
317,Paracuru,75,BR,1554065887,78,-3.41,-39.03,82.4,6.93
318,Grandview,1,US,1554066900,36,38.89,-94.53,48.0,4.7
319,Aklavik,90,CA,1554065280,80,68.22,-135.01,35.6,17.22
320,Bella Union,36,CO,1554066272,60,8.5,-73.35,82.82,2.35
321,Marsh Harbour,20,BS,1554066274,100,26.54,-77.06,74.81,1.9
322,Zionsville,75,US,1554066098,55,39.95,-86.26,36.0,13.87
323,Vestmannaeyjar,88,IS,1554066149,100,63.44,-20.27,36.65,7.16
324,Dunedin,0,NZ,1554066278,53,-45.87,170.5,61.13,17.0
325,Ojinaga,40,US,1554066073,25,29.56,-104.41,60.8,14.99
326,Tabas,12,IR,1554062400,24,33.6,56.92,71.6,4.7
327,Obidos,0,PT,1554066262,77,39.36,-9.16,60.01,3.36
328,Beyneu,0,KZ,1554066283,80,45.32,55.19,32.15,2.91
329,Sabang,8,PH,1554066019,98,13.72,123.58,73.19,6.93
330,Miandoab,92,IR,1554066286,97,36.97,46.1,37.55,9.51
331,Starozhilovo,12,RU,1554066142,70,54.23,39.91,43.0,5.01
332,Grand Gaube,40,MU,1554065942,83,-20.01,57.66,77.0,3.36
333,Mount Isa,0,AU,1554064200,54,-20.73,139.49,59.0,5.82
334,Huambo,44,AO,1554066253,75,-12.78,15.73,61.67,1.45
335,Baykit,92,RU,1554066292,94,61.68,96.39,32.15,7.72
336,Yining,8,CN,1554066293,87,29.04,114.56,35.84,2.13
337,Roebourne,32,AU,1554066295,68,-20.77,117.15,71.66,2.91
338,Kamina,12,CD,1554066296,80,-8.74,25.0,71.93,2.91
339,Fukue,20,JP,1554066246,75,35.03,136.69,44.6,18.34
340,San Luis,24,AR,1554066238,55,-33.3,-66.34,81.11,4.25
341,Gat,0,SN,1554064200,60,14.69,-16.54,69.8,20.8
342,Soc Trang,40,VN,1554064200,94,9.6,105.98,75.2,2.24
343,Kazerun,92,IR,1554066303,83,29.62,51.65,60.41,2.13
344,Song Phi Nong,20,TH,1554066099,72,14.23,100.04,88.0,6.15
345,Caravelas,0,BR,1554066058,100,-17.73,-39.27,81.11,16.33
346,Houma,0,CN,1554066307,57,35.63,111.36,28.01,1.9
347,Riyadh,40,SA,1554062400,78,24.63,46.72,71.6,8.05
348,Micomeseng,12,GQ,1554066310,87,2.15,10.62,77.6,3.91
349,Kungurtug,36,RU,1554066311,68,50.6,97.53,6.95,2.24
350,Los Llanos de Aridane,20,ES,1554066013,68,28.66,-17.92,64.4,8.05
351,Richards Bay,20,ZA,1554066095,78,-28.77,32.06,75.08,10.63
352,Sorong,20,ID,1554066315,100,-0.86,131.25,81.56,7.94
353,Martinsville,1,US,1554066204,28,36.69,-79.87,63.0,16.11
354,Alvorada,40,BR,1554066205,54,-30.0,-51.08,84.2,8.05
355,Ostrovskoye,24,RU,1554066319,92,57.81,42.24,35.93,13.98
356,San Lorenzo,0,PY,1554062400,78,-25.34,-57.51,80.6,2.24
357,Codrington,0,AU,1554066048,87,-28.95,153.24,57.99,6.93
358,Montpelier,90,US,1554066217,80,44.26,-72.58,42.8,3.36
359,Mizan Teferi,20,ET,1554066326,86,6.99,35.58,58.61,2.13
360,Quatre Cocos,40,MU,1554066242,83,-20.21,57.76,77.0,3.36
361,Kota Kinabalu,75,MY,1554066016,88,5.98,116.07,75.2,4.7
362,Moldovita,0,RO,1554066295,46,47.68,25.53,54.0,2.24
363,Kundiawa,44,PG,1554066331,95,-6.02,144.97,56.54,2.01
364,Hamilton,90,CA,1554066095,88,43.26,-79.87,33.01,14.99
365,Celakovice,75,CZ,1554066310,70,50.16,14.75,48.99,11.41
366,Manado,40,ID,1554064200,100,1.49,124.85,75.2,2.24
367,Tautira,20,PF,1554066142,70,-17.73,-149.15,87.8,5.82
368,Huron,90,US,1554062100,35,44.36,-98.21,55.4,16.11
369,Virginia Beach,90,US,1554066215,81,36.85,-75.98,54.0,6.93
370,Muli,0,IN,1554066194,49,22.62,71.45,75.71,10.4
371,Sisimiut,68,GL,1554066123,97,66.94,-53.67,16.58,2.01
372,Rupert,40,US,1554065580,34,42.62,-113.68,53.6,4.7
373,Musiri,0,IN,1554064200,57,10.95,78.44,80.6,5.14
374,Youghal,40,IE,1554066184,87,51.95,-7.85,48.99,6.93
375,Mikkeli,0,FI,1554066005,63,61.69,27.27,30.2,4.7
376,Moree,24,AU,1554066097,76,-29.46,149.84,53.01,2.91
377,Wenling,92,CN,1554066257,65,28.38,121.38,48.99,7.94
378,Sarny,24,UA,1554066350,52,51.32,26.62,48.53,15.55
379,Oneonta,76,US,1554066074,85,42.45,-75.06,37.99,7.0
380,Rognedino,64,RU,1554066353,73,53.8,33.56,46.91,14.54
381,Saldanha,80,PT,1554066354,56,41.42,-6.55,55.73,3.91
382,Khanpur,0,PK,1554066356,46,28.65,70.66,70.58,2.01
383,Clovis,1,US,1554066162,35,36.83,-119.7,75.99,5.14
384,Solwezi,0,ZM,1554066359,84,-12.18,26.4,60.86,3.24
385,Hof,1,DE,1554066361,70,50.32,11.92,46.4,10.4
386,Menongue,24,AO,1554066363,37,-14.66,17.68,68.33,3.58
387,Acajutla,8,SV,1554066364,56,13.59,-89.83,86.33,5.14
388,Valdivia,75,CL,1554062400,68,-39.81,-73.25,66.2,10.29
389,Marmora,0,IT,1554066183,59,44.46,7.09,54.0,1.57
390,Bandarbeyla,92,SO,1554066368,100,9.49,50.81,78.95,7.27
391,Buala,92,SB,1554066241,100,-8.15,159.59,76.07,2.57
392,Sinop,24,TR,1554066371,98,42.03,35.15,46.91,4.47
393,Vera Cruz,8,BR,1554066372,59,-22.22,-49.82,81.92,3.02
394,Cap Malheureux,40,MU,1554065942,83,-19.98,57.61,77.0,3.36
395,Belle Fourche,1,US,1554066306,40,44.67,-103.85,55.0,20.8
396,Neuquen,0,AR,1554062400,35,-38.95,-68.06,86.0,3.36
397,Skelleftea,0,SE,1554065942,55,64.75,20.95,35.6,13.87
398,Nakskov,36,DK,1554066307,68,54.84,11.13,41.0,4.0
399,Hambantota,0,LK,1554066091,100,6.12,81.12,81.11,7.16
400,Saint-Augustin,0,FR,1554066023,54,44.83,-0.61,54.0,2.24
401,Port-Gentil,20,GA,1554062400,94,-0.72,8.78,77.0,9.17
402,Kisangani,20,CD,1554066384,82,0.52,25.21,78.95,1.68
403,Sorland,92,NO,1554066142,100,67.67,12.69,36.74,29.19
404,Wanning,20,AT,1554066238,50,48.64,13.53,54.0,8.05
405,Muravlenko,0,RU,1554066388,84,63.79,74.5,23.51,9.95
406,Makinsk,8,KZ,1554066389,81,52.63,70.42,22.07,6.38
407,Gweru,0,ZW,1554066391,64,-19.46,29.82,68.15,10.63
408,Panaba,64,MX,1554066392,40,21.28,-88.27,90.2,7.61
409,Qostanay,0,KZ,1554064200,92,53.17,63.58,26.6,6.71
410,Esperance,20,TT,1554066226,55,10.24,-61.45,87.8,14.99
411,Beloslav,0,BG,1554064200,86,43.19,27.7,37.4,2.24
412,Lavrentiya,48,RU,1554066398,100,65.58,-170.99,26.93,3.13
413,Valparaiso,40,US,1554066108,47,41.47,-87.06,39.99,5.82
414,Port Augusta,0,AU,1554065768,82,-32.49,137.76,60.8,8.05
415,Maragogi,80,BR,1554066402,95,-9.01,-35.22,78.68,5.59
416,Ous,8,RU,1554066403,74,60.91,61.52,26.75,5.37
417,San Jose,24,PH,1554066404,94,15.79,120.99,67.43,1.68
418,Sinnamary,56,GF,1554066205,92,5.38,-52.96,81.02,9.84
419,Naze,75,NG,1554062400,88,5.43,7.07,80.6,3.24
420,Banjar,68,ID,1554066408,96,-7.37,108.54,69.59,2.35
421,Peoria,40,US,1554066410,44,40.69,-89.59,43.0,6.93
422,Tshikapa,8,CD,1554066411,94,-6.42,20.79,75.53,1.34
423,Berwick,90,US,1554066390,52,41.06,-76.25,48.2,12.75
424,Arman,0,RU,1554066414,68,59.7,150.17,8.75,5.03
425,Thunder Bay,75,CA,1554066321,31,48.41,-89.26,37.0,3.36
426,Adrar,0,DZ,1554066000,17,27.87,-0.29,75.2,11.41
427,Aykhal,80,RU,1554066418,81,65.95,111.51,23.6,7.94
428,Geraldton,75,CA,1554062400,33,49.72,-86.95,30.2,11.41
429,Saeby,0,DK,1554066420,97,57.33,10.52,42.59,5.48
430,North Bend,1,US,1554066213,82,43.41,-124.22,68.0,10.29
431,Vanavara,92,RU,1554066316,97,60.35,102.28,31.25,5.14
432,Yerbogachen,56,RU,1554066218,77,61.28,108.01,25.58,6.6
433,Jijiga,0,ET,1554066425,45,9.35,42.8,60.86,4.81
434,Pedra,88,BR,1554066356,90,-8.5,-36.94,73.55,6.93
435,Tigil,32,RU,1554066428,89,57.8,158.67,27.92,10.51
436,Bratsk,44,RU,1554066147,93,56.15,101.63,32.0,4.47
437,Port Hardy,20,CA,1554062400,81,50.7,-127.42,44.6,6.93
438,Krasnyy Kommunar,0,RU,1554064200,98,51.96,55.37,33.8,4.47
439,Storsteinnes,75,NO,1554066077,74,69.24,19.23,28.4,19.46
440,Manosque,0,FR,1554066074,65,43.83,5.78,54.0,2.24
441,Grand Island,1,US,1554066153,39,40.92,-98.34,53.01,13.87
442,Damietta,40,EG,1554062400,93,31.42,31.81,57.2,14.99
443,Pimentel,76,BR,1554066439,84,-3.7,-45.5,81.2,2.24
444,Seminole,1,US,1554066084,29,32.72,-102.64,51.8,12.75
445,Inta,88,RU,1554066441,82,66.04,60.13,30.53,8.72
446,Fatick,0,SN,1554066442,23,14.33,-16.4,88.58,12.97
447,Port Hawkesbury,90,CA,1554066202,100,45.62,-61.36,48.99,9.17
448,Bumba,44,CD,1554066445,85,2.18,22.47,76.79,3.69
449,Lazaro Cardenas,5,MX,1554066314,31,28.39,-105.62,70.0,16.11
450,Gisborne,76,NZ,1554066005,69,-38.66,178.02,72.0,11.01
451,Quito,75,EC,1554066075,68,-0.22,-78.51,68.0,9.17
452,Conde,76,BR,1554066416,96,-11.81,-37.61,79.49,7.16
453,Alihe,48,CN,1554066452,58,50.57,123.73,11.99,4.92
454,Pisco,40,PE,1554062400,30,-13.71,-76.2,71.6,27.51
455,Buchanan,40,LR,1554062400,83,5.88,-10.05,82.4,6.26
456,Maputo,20,MZ,1554062400,78,-25.97,32.57,75.2,5.82
457,Bend,20,US,1554066148,26,44.06,-121.32,63.0,3.13
458,Denpasar,20,ID,1554064200,88,-8.65,115.22,78.8,5.82
459,San Andres,24,PH,1554066460,100,13.32,122.68,80.12,10.4
460,Hilpoltstein,0,DE,1554066319,70,49.19,11.19,53.6,5.82
461,Oranjemund,24,ZA,1554066267,92,-28.55,16.43,60.5,14.99
462,Yebaishou,0,CN,1554066464,53,41.4,119.64,20.45,6.38
463,Zhigansk,80,RU,1554066209,83,66.77,123.37,17.39,6.38
464,Upernavik,64,GL,1554066466,100,72.79,-56.15,10.91,2.35
465,Juegang,0,CN,1554066412,62,32.31,121.18,48.99,15.32
466,Mount Pleasant,1,US,1554066217,34,33.16,-94.97,57.99,5.82
467,Diu,0,IN,1554066471,56,20.71,70.98,68.78,6.82
468,Farafangana,80,MG,1554066265,100,-22.82,47.83,78.41,7.16
469,Poronaysk,20,RU,1554066474,81,49.22,143.1,10.91,5.59
470,Rawson,0,AR,1554066240,25,-43.3,-65.11,83.72,7.72
471,Finschhafen,36,PG,1554066477,92,-6.6,147.85,73.73,1.34
472,Mersing,36,MY,1554066401,100,2.43,103.84,77.06,1.9
473,Batagay,8,RU,1554066480,48,67.65,134.64,-8.99,2.91
474,Zemio,12,CF,1554066481,78,5.02,25.13,74.09,3.91
475,Mestia,32,GE,1554066482,86,43.04,42.73,16.94,1.01
476,Saint-Joseph,0,FR,1554066098,70,43.56,6.97,54.0,3.36
477,Port-Cartier,90,CA,1554066206,93,50.03,-66.88,39.2,17.22
478,Vestmanna,92,FO,1554063600,87,62.16,-7.17,42.8,8.05
479,Sungaipenuh,64,ID,1554066487,94,-2.08,101.38,66.44,1.23
480,Husavik,20,CA,1554066335,46,50.56,-96.99,39.99,3.0
481,Songea,5,TZ,1554062400,83,-10.68,35.65,71.6,2.24
482,Skegness,40,GB,1554066304,70,53.14,0.34,44.6,9.17
483,Usakos,88,NA,1554066492,92,-22.0,15.59,66.26,3.24
484,Cumberland,90,US,1554066253,93,41.97,-71.43,55.0,13.87
485,Byron Bay,80,AU,1554066348,63,-28.65,153.62,70.0,9.17
486,Pangnirtung,75,CA,1554062400,65,66.15,-65.72,8.6,2.24
487,Monroe,90,US,1554066446,87,41.91,-83.4,34.0,13.87
488,Coihaique,75,CL,1554062400,45,-45.58,-72.07,64.4,25.28
489,Maamba,0,ZM,1554066501,54,-17.36,27.22,66.44,4.14
490,Serabu,0,SL,1554066502,58,7.79,-12.05,87.86,7.27
491,Havoysund,75,NO,1554063600,79,71.0,24.66,28.4,31.09
492,Rio Gallegos,0,AR,1554062400,58,-51.62,-69.22,59.0,2.24
493,Shangqiu,0,CN,1554066506,56,34.42,115.65,37.37,7.38
494,Port Lincoln,36,AU,1554066326,100,-34.72,135.86,55.28,2.13
495,Natal,75,BR,1554062400,94,-5.81,-35.21,78.8,4.7
496,Antropovo,40,RU,1554065878,57,55.25,37.65,50.0,17.9
497,Tateyama,68,JP,1554066475,99,36.66,137.31,43.0,0.67
498,Amapa,20,HN,1554066338,38,15.09,-87.97,91.4,9.17
499,Tlapacoyan,80,MX,1554066514,91,19.96,-97.21,56.09,2.68
500,Sayyan,0,YE,1554066516,66,15.17,44.32,50.78,3.69
501,Jerusalem,40,PS,1554066189,81,31.78,35.23,53.6,8.05
502,Aasiaat,24,GL,1554066518,100,68.71,-52.87,16.04,12.08
503,Salaga,64,GH,1554066520,79,8.55,-0.52,82.55,7.61
504,Isabela,0,PH,1554066521,95,10.2,122.99,64.46,2.8
505,Balezino,92,RU,1554066522,96,57.97,53.01,37.55,19.69
506,Hillsborough,5,US,1554066512,42,37.57,-122.38,73.99,4.7
507,Ancud,90,CL,1554062400,100,-41.87,-73.83,57.2,5.82
508,Tabou,32,CI,1554066526,97,4.42,-7.36,85.16,8.39
509,Dovers,40,VC,1554062400,78,12.88,-61.18,80.6,3.36
510,Beckley,75,US,1554066036,41,37.78,-81.19,44.01,9.17
511,College,1,US,1554066424,64,64.86,-147.8,48.99,4.81
512,Fonte Boa,20,BR,1554066531,58,-2.51,-66.09,90.65,4.92
513,The Valley,20,AI,1554066094,74,18.22,-63.06,82.4,13.87
514,Jumla,0,NP,1554066477,86,29.28,82.18,23.15,1.79
515,Solnechnyy,56,RU,1554066405,74,50.72,136.64,15.23,5.26
516,Sarangani,0,PH,1554066536,99,5.4,125.46,80.93,6.82
517,Hisua,0,IN,1554066538,86,24.84,85.42,66.35,2.91
518,Coos Bay,1,US,1554066332,82,43.37,-124.22,68.0,10.29
519,The Pas,90,CA,1554062400,50,53.82,-101.24,30.2,11.41
520,Comodoro Rivadavia,0,AR,1554062400,24,-45.87,-67.48,82.4,12.75
521,Elizabeth City,90,US,1554066506,82,36.3,-76.22,61.0,20.8
522,Show Low,20,US,1554066322,23,34.25,-110.03,57.0,17.22
523,Alto Araguaia,20,BR,1554066545,26,-17.32,-53.22,92.18,4.25
524,Talcahuano,75,CL,1554062400,77,-36.72,-73.12,62.6,9.17
525,Arcata,1,US,1554066303,76,40.87,-124.08,62.01,9.17
526,Sapa,20,PH,1554066081,69,14.32,120.76,80.6,6.93
527,Boddam,8,GB,1554066276,86,57.47,-1.78,39.0,9.17
528,Pangody,44,RU,1554066551,90,65.85,74.49,28.19,12.41
529,Safford,1,US,1554066173,20,32.83,-109.71,66.2,4.7
530,Eyl,88,SO,1554066407,100,7.98,49.82,78.41,7.72
531,Yarada,0,IN,1554066555,98,17.65,83.27,83.63,13.65
532,Isiro,44,CD,1554066557,92,2.77,27.62,70.49,1.23
533,Eloy,1,US,1554066494,9,32.76,-111.56,81.0,10.29
534,Olinda,20,EC,1554066307,62,-2.03,-79.75,90.0,8.05
535,Yerofey Pavlovich,24,RU,1554066481,60,53.97,121.97,17.03,4.59
536,Nome,75,US,1554066552,54,30.04,-94.42,55.0,13.87
537,Neuenhagen,0,DE,1554066551,48,52.84,14.05,45.0,2.24
538,Bemidji,40,US,1554066282,91,47.48,-94.89,36.0,6.93
539,Danjiangkou,36,CN,1554066307,83,32.54,111.51,38.9,1.68
540,Kangaatsiaq,0,GL,1554066427,100,68.31,-53.46,17.66,18.45
541,Ilhabela,12,BR,1554066568,98,-23.78,-45.36,77.24,13.98
542,Lahan,20,NP,1554066570,94,26.71,86.48,57.71,1.79
543,Charters Towers,80,AU,1554066571,85,-20.07,146.27,65.18,10.96
544,Harper,1,US,1554066555,24,30.3,-99.24,57.2,5.82
545,Aravete,0,EE,1554066484,74,59.14,25.75,36.0,17.22
546,Columbus,20,US,1554066179,50,32.46,-84.99,57.2,11.41
547,Clarence Town,20,AU,1554066573,81,-32.59,151.78,57.99,8.05
548,Atasu,88,KZ,1554066578,94,48.68,71.64,45.83,6.38
549,Bata,20,GQ,1554066579,99,1.87,9.77,81.02,4.92
550,Mount Gambier,90,AU,1554062400,93,-37.83,140.78,51.8,2.13
551,Ust-Nera,56,RU,1554066582,53,64.57,143.24,-6.83,3.24
552,Tilichiki,92,RU,1554066583,91,60.47,166.1,33.23,10.18
553,Pringsewu,36,ID,1554066585,91,-5.36,104.98,72.65,2.35
554,Ocala,1,US,1554066524,39,29.19,-82.14,84.99,10.29
